fall_term,campus,broad_discipline,applicants,admits,enrollees,admit_rate,yield_rate,admit_gpa_p25,admit_gpa_p75,enrollee_gpa_p25,enrollee_gpa_p75
2025,Merced,Other/Interdisciplinary,3176,2909,75,0.92,0.03,3.48,4.11,3.26,3.87
2025,Merced,Physical Sciences/Math,3227,3008,97,0.93,0.03,3.66,4.2,3.15,3.8
2025,Merced,Public Health,2452,2313,91,0.94,0.04,3.45,4.08,3.32,4.0
2025,Merced,Social Sciences,8622,8049,249,0.93,0.03,3.47,4.08,3.18,3.79
2025,Merced,Undeclared,5013,4576,259,0.91,0.06,3.4,4.02,3.23,3.82
2025,Riverside,All disciplines,70863,61312,6682,0.87,0.11,3.65,4.16,3.44,3.94
2025,Riverside,Arts & Humanities,5364,4847,419,0.9,0.09,3.46,4.06,3.26,3.81
2025,Riverside,Business,8228,7448,1116,0.91,0.15,3.45,4.05,3.33,3.88
2025,Riverside,Computer Science,5068,4111,236,0.81,0.06,3.96,4.25,3.73,4.08
2025,Riverside,Engineering,11480,9615,992,0.84,0.1,3.84,4.22,3.66,4.01
2025,Riverside,Life Sciences,15719,13023,1478,0.83,0.11,3.85,4.22,3.68,4.04
2025,Riverside,Other/Interdisciplinary,187,160,5,0.86,0.03,3.59,4.15,3.41,3.51
2025,Riverside,Physical Sciences/Math,3035,2687,217,0.89,0.08,3.69,4.2,3.45,3.88
2025,Riverside,Public Admin,1639,1527,123,0.93,0.08,3.5,4.12,3.24,3.74
2025,Riverside,Social Sciences,14902,13379,1499,0.9,0.11,3.53,4.09,3.33,3.81
2025,Riverside,Undeclared,3753,3231,430,0.86,0.13,3.44,4.0,3.28,3.69
2025,San Diego,All disciplines,136727,38457,7801,0.28,0.2,4.11,4.29,4.07,4.27
2025,San Diego,Architecture,495,153,33,0.31,0.22,4.0,4.25,3.93,4.26
2025,San Diego,Arts & Humanities,7812,2699,392,0.35,0.15,4.06,4.26,4.0,4.24
2025,San Diego,Business,9040,1937,341,0.21,0.18,4.13,4.29,4.1,4.26
2025,San Diego,Computer Science,10785,2143,581,0.2,0.27,4.16,4.3,4.12,4.29
2025,San Diego,Engineering,20205,3938,1074,0.19,0.27,4.17,4.3,4.12,4.29
2025,San Diego,Life Sciences,25093,8177,1752,0.33,0.21,4.15,4.29,4.11,4.28
2025,San Diego,Other/Interdisciplinary,10626,3246,660,0.31,0.2,4.09,4.28,4.04,4.26
2025,San Diego,Physical Sciences/Math,12511,4924,1021,0.39,0.21,4.13,4.29,4.07,4.26
2025,San Diego,Public Health,1760,305,44,0.17,0.14,4.08,4.26,4.0,4.27
2025,San Diego,Social Sciences,24878,6501,1262,0.26,0.19,4.08,4.28,4.02,4.25
2025,San Diego,Undeclared,9433,3281,424,0.35,0.13,4.06,4.27,4.0,4.23
2025,Santa Barbara,All disciplines,110173,42094,5081,0.38,0.12,4.09,4.28,4.0,4.27
2025,Santa Barbara,Arts & Humanities,10271,3619,384,0.35,0.11,4.03,4.26,3.92,4.23
2025,Santa Barbara,Business,383,162,27,0.42,0.17,4.11,4.29,4.0,4.26
2025,Santa Barbara,Computer Science,5865,1989,182,0.34,0.09,4.19,4.29,4.14,4.29
2025,Santa Barbara,Engineering,12679,2694,338,0.21,0.13,4.21,4.3,4.18,4.3
2025,Santa Barbara,Life Sciences,21225,8909,1065,0.42,0.12,4.11,4.29,4.04,4.28
2025,Santa Barbara,Other/Interdisciplinary,5201,1553,257,0.3,0.17,4.04,4.27,4.0,4.25
2025,Santa Barbara,Physical Sciences/Math,13760,7558,792,0.55,0.1,4.11,4.28,4.0,4.26
2025,Santa Barbara,Social Sciences,33738,12720,1705,0.38,0.13,4.07,4.28,4.0,4.26
2025,Santa Barbara,Undeclared,7051,2890,331,0.41,0.11,4.0,4.26,3.97,4.25
2025,Santa Cruz,All disciplines,66393,48122,4597,0.72,0.1,3.83,4.2,3.72,4.04
2025,Santa Cruz,Arts & Humanities,5945,4022,281,0.68,0.07,3.8,4.17,3.65,4.04
2025,Santa Cruz,Business,6725,4465,318,0.66,0.07,3.79,4.15,3.7,4.0
2025,Santa Cruz,Computer Science,5952,4725,566,0.79,0.12,3.92,4.25,3.79,4.1
2025,Santa Cruz,Engineering,5134,3961,495,0.77,0.12,3.85,4.22,3.72,4.04
2025,Santa Cruz,Life Sciences,14258,10997,1156,0.77,0.11,3.86,4.22,3.72,4.04
2025,Santa Cruz,Other/Interdisciplinary,3822,2939,705,0.77,0.24,3.81,4.17,3.72,4.06
2025,Santa Cruz,Physical Sciences/Math,3148,2506,211,0.8,0.08,3.88,4.25,3.7,4.1
2025,Santa Cruz,Public Admin,192,124,6,0.65,0.05,3.83,4.16,4.0,4.11
2025,Santa Cruz,Social Sciences,10831,7308,275,0.67,0.04,3.81,4.18,3.68,4.03
2025,Santa Cruz,Undeclared,9848,6727,559,0.68,0.08,3.82,4.2,3.73,4.04
